theta C_p
124.7147722429814 -0.775494
124.71486643673217 -0.775493
125.57167291705878 -0.76902
125.57167291705878 -0.769021
126.4283270873747 -0.762645
126.42848733389792 -0.762644
127.2851801503806 -0.756369
127.28534074015772 -0.756369
128.14233346520678 -0.750194
128.14249436259198 -0.750193
128.99999813745796 -0.744119
129.00007025218463 -0.744118
129.85768576007558 -0.738147
129.85768576007558 -0.738146
130.71471099878852 -0.732285
130.71487260246693 -0.732284
131.57158820395108 -0.72653
131.57167393281375 -0.726529
132.42843227630547 -0.72088
132.42843227630547 -0.720881
133.28526476743622 -0.715337
133.28534818404353 -0.715336
134.14244542192154 -0.709895
134.14244542192154 -0.709894
135.0 -0.704552
135.85755457807846 -0.69931
135.85755457807846 -0.69931
136.71465181595647 -0.69417
136.71473523256378 -0.694169
137.57156772369453 -0.689128
137.57156772369453 -0.689128
138.42832606718625 -0.684181
138.42832606718625 -0.684181
139.28512739753307 -0.679327
139.28520214484635 -0.679326
140.14231423992442 -0.674562
140.14231423992442 -0.674561
140.99992974781537 -0.669881
141.00000186254204 -0.66988
141.85750563740802 -0.665285
141.85766653479322 -0.665284
142.71465925984228 -0.660775
142.7148198496194 -0.660774
143.57151266610208 -0.656346
143.5716729126253 -0.656345
144.42832708294122 -0.651995
144.42832708294122 -0.651995
145.28513356326783 -0.647721
145.28522775701862 -0.64772
146.1422827619482 -0.64352
146.14237792132798 -0.64352
146.99990221398048 -0.639389
146.9999983182759 -0.639389
147.8575174490925 -0.635329
147.85761447677427 -0.635329
148.7146525817251 -0.631342
148.71475051054972 -0.631342
149.57149969529607 -0.627425
149.57159850307926 -0.627425
150.42825125984277 -0.623576
150.42840747654284 -0.623576
151.28515492997593 -0.619796
151.28525542909526 -0.619795
152.14229155601038 -0.616083
152.14244641334116 -0.616083
152.9999617988377 -0.612436
152.9999617988377 -0.612436
153.85748283500894 -0.608859
153.85763619328122 -0.608859
154.71463586339445 -0.605355
154.7147394759528 -0.605355
155.57151304590832 -0.601924
155.57161737889476 -0.601923
156.42825175299672 -0.598565
156.42835678289654 -0.598565
157.28514762435216 -0.595283
157.28525332781837 -0.595282
158.1422861226734 -0.592078
158.142392476159 -0.592077
158.9999226295884 -0.588951
159.0000296098104 -0.58895
159.8575676982518 -0.585908
159.8576752811182 -0.585907
160.71464783387862 -0.582954
160.7147559949557 -0.582953
161.57146512303945 -0.58009
161.57161006267313 -0.580089
162.42828421459149 -0.577319
162.4283934591033 -0.577319
163.2851151715466 -0.574645
163.28522492117332 -0.574645
164.1422934368238 -0.572072
164.14240366715092 -0.572072
164.99986870056554 -0.569602
164.99986870056554 -0.569602
164.99997938718414 -0.569602
165.85756148861034 -0.567242
165.85767260679435 -0.567242
166.71461926203182 -0.564996
166.71473078660804 -0.564996
167.57148327508236 -0.562867
167.57159518095705 -0.562867
168.42820876272393 -0.560859
168.4283210249403 -0.560859
169.28512416108768 -0.558975
169.28522549521705 -0.558975
170.1422730254793 -0.55722
170.1423746350417 -0.557219
170.99990537339113 -0.555595
170.99999591781173 -0.555595
171.85750678628858 -0.554107
171.85762510889103 -0.554106
172.71464584742677 -0.552758
172.71477404498717 -0.552758
173.57152409767687 -0.551552
173.57161519438841 -0.551552
174.4282750853599 -0.55049
174.42837773026076 -0.550489
175.28512550865736 -0.549574
175.28522829188614 -0.549574
176.14227870737713 -0.548807
176.14238160592882 -0.548807
176.9999018978859 -0.548191
177.00000488868665 -0.548191
177.85751174040922 -0.547729
177.85761480061535 -0.547729
178.71464681021675 -0.54742
178.71476137276093 -0.54742
179.57152525691032 -0.547266
179.57162036505935 -0.547266
180.4282730679757 -0.547266
180.42837963494065 -0.547266
